Ejecucion,Tiempo_Segundos
1,0.717000008
2,0.493000031
3,0.361999989
4,0.428999901
5,0.345999956
6,0.417000055
7,0.501000166
8,0.289999962
9,0.302000046
10,0.414999962
11,0.378000021
12,0.357000113
13,0.294000149
14,0.299999952
15,0.305999994
16,0.395999908
17,0.412000179
18,0.559999943
19,0.442999840
20,0.460000038
21,0.345000029
22,0.319000006
23,0.496000051
24,0.340000153
25,0.322000027
26,0.295000076
27,0.382999897
28,0.555000067
29,0.450000048
30,0.289000034
31,0.410000086
32,0.282000065
33,0.289000034
34,0.267999887
35,0.259000063
36,0.269999981
37,0.302999973
38,0.263999939
39,0.261999846
40,0.269000053
41,0.288000107
42,0.280999899
43,0.273000002
44,0.351999998
45,0.430999994
46,0.488000154
47,0.626000166
48,0.599999905
49,0.335000038
50,0.325000048
51,0.319000006
52,0.307999849
53,0.321000099
54,0.322000027
55,0.307999849
56,0.329999924
57,0.279999971
58,0.257999897
59,0.316999912
60,0.309999943
61,0.360999823
62,0.477999926
63,0.277000189
64,0.302999973
65,0.260999918
66,0.305999994
67,0.477999926
68,0.272000074
69,0.269999981
70,0.322999954
71,0.313999891
72,0.275000095
73,0.293000221
74,0.268000126
75,0.302999973
76,0.262000084
77,0.305999994
78,0.364000082
79,0.321999788
80,0.270999908
81,0.259000063
82,0.257999897
83,0.281000137
84,0.296000004
85,0.267999887
86,0.269999981
87,0.301000118
88,0.272000074
89,0.311000109
90,0.292999983
91,0.285000086
92,0.481999874
93,0.524999857
94,0.270999908
95,0.283999920
96,0.353000164
97,0.285000086
98,0.282999992
99,0.277999878
100,0.272000074
