Medicion;Tiempo_Segundos
1;0.029000
2;0.027000
3;0.028000
4;0.030000
5;0.037000
6;0.033000
7;0.029000
8;0.030000
9;0.031000
10;0.029000
11;0.032000
12;0.031000
13;0.031000
14;0.029000
15;0.028000
16;0.027000
17;0.026000
18;0.028000
19;0.027000
20;0.030000
21;0.028000
22;0.027000
23;0.027000
24;0.055000
25;0.042000
26;0.034000
27;0.041000
28;0.040000
29;0.033000
30;0.035000
31;0.034000
32;0.030000
33;0.033000
34;0.035000
35;0.033000
36;0.030000
37;0.030000
38;0.032000
39;0.030000
40;0.056000
41;0.047000
42;0.032000
43;0.030000
44;0.030000
45;0.032000
46;0.032000
47;0.029000
48;0.028000
49;0.033000
50;0.030000
51;0.027000
52;0.027000
53;0.027000
54;0.030000
55;0.029000
56;0.027000
57;0.031000
58;0.031000
59;0.033000
60;0.033000
61;0.033000
62;0.055000
63;0.035000
64;0.045000
65;0.035000
66;0.041000
67;0.037000
68;0.034000
69;0.029000
70;0.036000
71;0.031000
72;0.112000
73;0.033000
74;0.037000
75;0.035000
76;0.036000
77;0.035000
78;0.033000
79;0.038000
80;0.040000
81;0.044000
82;0.033000
83;0.041000
84;0.040000
85;0.037000
86;0.035000
87;0.037000
88;0.034000
89;0.034000
90;0.030000
91;0.035000
92;0.030000
93;0.030000
94;0.036000
95;0.044000
96;0.044000
97;0.041000
98;0.033000
99;0.056000
100;0.029000
